ID,Title,Room,Speaker name,Date,Time,Recorded
13514,Small Teams Big Ambitions,W3011,Nadia Thorne (Black Salt Games),,3:30pm-4:30pm,Video
13598,UX Summit: UX Writing: A New(ish) Craft in Mobile Games,W2010/2012,Patricia Gomez (King),Mon 03/17,9:30am-10:30am,Video
13354,Game Narrative Summit: Storytelling Through Systems: A Narrative Designer's Approach,W2001/2003,Adam Dolin (Independent),Mon 03/17,9:30am-10:00am,Video
13614,Visual Effects Summit: Are You Visually Literate? Crafting Clear and Satisfying VFX,W2016,Rachel Quitevis (Beyond-FX),Mon 03/17,9:30am-10:30am,Video
13648,Adobe Developer Summit: Adobe Substance 3D Keynote (Presented by Adobe),W3001/3003,Valeria Gerontopoulos (Adobe) Wes McDermott (Adobe) Gio Nakpil (Adobe) Jérémie Noguer (Adobe),Mon 03/17,9:30am-10:30am,Video
13399,Independent Games Summit: Fundraising Bootcamp: Legal and Business Considerations,W2009,Steven Lee (Foundation Law Group LLP) Jon Loiterman (Foundation Law Group LLP),Mon 03/17,9:30am-10:30am,Video
13677,Game AI Summit: No Brakes! Machine Learning Vehicles in 'Star Wars Outlaws',W3004/3006,Colin Gaudreau (Ubisoft Winnipeg) Andreas Lasses (Massive Entertainment - a Ubisoft Studio),Mon 03/17,9:30am-10:30am,Video
13167,Animation Summit: Stop Motion Southern Gothic: Animating 'South of Midnight',W2018,Sebastien Dussault (Agora Studio) Remi Edmond (Compulsion Games) Mike Jungbluth (Compulsion Games) Vincent Schneider (Compulsion Games),Mon 03/17,9:30am-10:30am,Video
13447,Live Service Games Summit: The Year in Live Service Games,W2006/2008,Scott Hartsman (Independent) Steven Meretzky (PeopleFun) Dave Rohrl (Mobile Game Doctor Inc.),Mon 03/17,9:30am-10:30am,Video
13459,Machine Learning Summit: SIMA: Developing General AI Agents with Video Games,W3018,Piermaria Mendolicchio (Google DeepMind) Alexandre Moufarek (Google DeepMind),Mon 03/17,9:30am-10:30am,Video
13717,TIGG Developer Summit: Designing for Digital Thriving: TIGG and the Digital Thriving Playbook (Presented by Tencent Games),W2011,Matthew Soeth (Thriving in Games Group (TIGG)),Mon 03/17,9:30am-10:30am,Video
13722,Tencent Games Developer Summit: Noise or Insight? Five Tips to Get Real Insights in Playtests!(Presented by Tencent Games),W2024,Xuwei Yu Joe Yu (Tencent Games) Huishu Zheng Kristy Zheng (Tencent Games),Mon 03/17,9:30am-10:30am,Video
13728,The Future of Gaming Supported by AI: How Xbox is Empowering Players and Creators (Presented by Microsoft),W3011,Fatima Kardar Fatima Kardar (Microsoft) Sonali Yadav Sonali Yadav (Microsoft),Mon 03/17,9:30am-10:30am,Video
13741,Unity Developer Summit: The Unity Engine Roadmap (Presented by Unity),W2020/2022,Marc-André Ferguson (Unity) Laurent Gibert (Unity),Mon 03/17,9:30am-10:30am,Video
13529,Tabletop Summit: Early-Access Tabletop: How Adapting Digital-Game Methods Built Arcs,W3024,Cole Wehrle (Leder Games Wehrlegig Games) Josh Yearsley (Leder Games),Mon 03/17,9:30am-10:30am,Video
13793,Independent Games Summit: Making Room,W2005/2007,Tina Merry (Simply Sweet Games),Mon 03/17,9:30am-10:30am,Video
13289,Future Realities Summit: Constructing the World of Purdan in 'Alien: Rogue Incursion',W2002/2004,Alexander Silkin (Survios),Mon 03/17,9:30am-10:30am,Video
13334,Game Design Workshop Day 1,S207/208,Andy Ashcraft (Giantsdance Games / New York Film Academy) Jeb Havens (Brainium) Frank Lantz (Everybody House Games) Marc LeBlanc (Riot Games) Stone Librande (Riot Games) Geoffrey Marsi (Riot Games) Marcus Montgomery (Microsoft) Eben Myers (Level Ex Games) Kellee Santiago (E-Line Media) Lauren Scott (Double Fine) Eleanor Todd (Fablegate) Samuel Villanueva (Villains Creative),Mon 03/17,10:00am-11:30am,Not Recorded
13523,Storytelling Fundamentals Workshop,S212/213,Evan Skolnick (Independent),Mon 03/17,10:00am-11:30am,Not Recorded
13617,Visual Effects Summit: Redefining Physical VFX Systems,W2016,Igor Chiang (Havok),Mon 03/17,10:50am-11:50am,Video
13645,AI Innovation for Game Experiences: From Research to Prototyping (Presented by Microsoft),W3011,Katja Hofmann Katja Hofmann (Microsoft) Haiyan Zhang Haiyan Zhang (Microsoft),Mon 03/17,10:50am-11:50am,Video
13650,Adobe Developer Summit: Layer by Layer: Texturing with Intent in Substance 3D (Presented by Adobe),W3001/3003,Kasita Wonowidjojo (Digital Domain),Mon 03/17,10:50am-11:50am,Video
13408,Independent Games Summit: A Marketing Double-Bill: Maximizing Your Game's Visibility with Online Festivals // Free During Development: An Unusual Marketing Strategy,W2009,Walt Destler (Walternate Realities) Derek Lieu (Derek Lieu Creative) Dana Trebella (Spoke & Wheel Strategy),Mon 03/17,10:50am-11:50am,Video
13165,Animation Summit: Bones and Booleans: Microtalks,W2018,Max Gariepy (That's No Moon) Frank Gordon (That's No Moon),Mon 03/17,10:50am-11:50am,Video
13444,Live Service Games Summit: Reinventing 'Candy Crush Soda' for the Next 10 years,W2006/2008,Paul Hellier (King) Abigail Rindo (King),Mon 03/17,10:50am-11:50am,Video
13458,Machine Learning Summit: 'Rainbow Six Siege': Operation Bots,W3018,Alex Busby (Ubisoft) Joshua Romoff (Ubisoft),Mon 03/17,10:50am-11:50am,Video
13715,TIGG Developer Summit: Beyond Empathy: Frameworks for Embedding Prosocial Values in Games (Presented by Tencent Games),W2011,Adam Jerrett (University of Portsmouth),Mon 03/17,10:50am-11:50am,Video
13726,"Tencent Games Developer Summit: The Procedural Way: Bring Ancient Chinese Capital ""Xian Yang"" Back to Life (Presented by Tencent Games)",W2024,Yuqing Chen (Tencent Games) Guo Yu (Tencent Games),Mon 03/17,10:50am-11:50am,Video
13732,Unity Developer Summit: Accelerating the Creation of your Competitive Multiplayer Game (Presented by Unity),W2020/2022,Laurent Gibert (Unity) Esteban Enrique Maldonado Cabán (Unity),Mon 03/17,10:50am-11:50am,Video
13221,"Community Management Summit: Social Media Microtalks: Authenticity from You and the Business ""We""",W2014,Antonio Cara (DeNA Corp.) Livvy Hall (Xbox Game Studios Publishing) Harper Jay MacIntyre (Double Fine Productions Inc) Megan Spurr (Microsoft) Cindy Tran (Obsidian Entertainment),Mon 03/17,10:50am-11:50am,Video
